Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0393699098618405,0.00029338017895416,0.246714430384919,0,0,0,7.72080270470275,0.0927735748472098,1.72190184687839E-09,-0.00256316384233891,0.0438526593789028,7.29494949417166E-09,0.0733982205361372,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/base_link.STL,,baseLink-1,globalCoords,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00648795787235046,0.0599988979727498,-0.000882924223042036,0,0,0,0.715719482519865,0.00134468828759061,0.000142459036926116,1.68789460042738E-05,0.00092992094802874,-6.11976161352999E-06,0.00084923811617113,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link1.STL,,link1-2,link1Coords,joint1Axis,joint1,revolute,0,0.16355,0.5172,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
link2,8.25653640154633E-05,0.0610024235098449,-0.000118788152262406,0,0,0,0.393289380591223,0.00186278175847507,5.68529001036362E-05,-3.35596070412285E-06,0.000565515410487103,7.65008310205558E-06,0.00158017038765737,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link2.STL,,link2-2,link2Coords,joint2Axis,joint2,revolute,0.0315,0.084,0,0,0,0,link1,1,0,0,0,0,0,0,,,,,,,,
link3,-0.000312733131787979,0.0674576772753304,-0.00923774935502242,0,0,0,0.18680148468641,0.00038742015948435,-1.14856421400225E-05,-1.20447943757034E-06,0.000201366367368852,2.34610012720774E-05,0.000353464970682036,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link3.STL,,link3-2,link3Coords,joint3Axis,joint3,revolute,-0.017,0.171,0,0,0,0,link2,0,-1,0,0,0,0,0,,,,,,,,
link4,-0.0147100175958424,0.0552519220910238,-0.000438676492228174,0,0,0,0.171198731790723,0.000159971058394579,2.85342883021733E-05,-4.41162886967172E-06,0.000199888569467379,1.56879644128418E-06,0.000173071251570806,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link4.STL,,link4-2,link4Coords,joint4Axis,joint4,revolute,0.02,0.12,0,0,0,0,link3,-1,0,0,0,0,0,0,,,,,,,,
link5,0.0101064742185897,0.0501218669985956,-1.58020471687781E-05,0,0,0,0.149874419924705,0.000350578321442484,-5.78554405242181E-05,1.62694798799168E-08,0.000111057036297084,2.37323142178646E-10,0.000317256455304642,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link5.STL,,link5-2,link5Coords,joint5Axis,joint5,revolute,-0.0263,0.1055,0,0,0,0,link4,0,-1,0,0,0,0,0,,,,,,,,
link6,0.030004294635101,0.05544345003385,-7.85291217074713E-05,0,0,0,0.108391369555053,2.83157324789146E-05,4.28967707823919E-07,-2.5805118659042E-06,7.00884254274417E-05,4.16303393714129E-09,6.28400614742533E-05,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link6.STL,,link6-2,link6Coords,joint6Axis,joint6,revolute,-0.031,0.112,0,0,0,0,link5,1,0,0,0,0,0,0,,,,,,,,
link7,-0.013235531458122,-0.0229688384643895,-0.00641129891838277,0,0,0,0.0372930675243502,1.98339939365138E-05,2.61463007883355E-06,6.69248604942636E-09,9.05266779211E-06,-4.79077371537686E-07,1.51529276255668E-05,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link7.STL,,link7-2,link7Coords,joint7_8Axis,joint7,prismatic,0.085558,0.10361,0.004349,0,0,3.1416,link6,-1,0,0,0,0,0,0,,,,,,,,
link8,0.0132355314603446,-0.0229688384648348,-0.00228870108114088,0,0,0,0.037293067525095,1.98339939367975E-05,-2.61463007874125E-06,6.69248519891047E-09,9.0526677922033E-06,4.79077372182631E-07,1.51529276257507E-05,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link8.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link8.STL,,link8-1,link8Coords,joint7_8Axis,joint8,prismatic,-0.016558,0.10361,0.004349,0,0,3.1416,link6,-1,0,0,0,0,0,0,,,,,,,,
link1L,-0.00648795077346556,-0.0599988624740439,-0.000882917001239103,0,0,0,0.715718711523841,0.00134468450604772,-0.000142458935582621,1.68787907445742E-05,0.000929920629691007,6.12004958205212E-06,0.000849234420590723,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link1L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://armDouble.SLDASM/meshes/link1L.STL,,Mirrorlink1-4,link1L,Axis1,joint1L,revolute,0,-0.16355,0.5172,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
